title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
ඉඟි බිඟි Ingi Bingi,rock,Nishantha,2013,210,"{""Killer B"",""Samitha Mudunkotuwa""}","[Intro: Killer B]
You know we do it big baby ha ha
Yeah we don't stop man
Okay CMB
Nishantha let's go

[Hook x2: Nishantha]
ඉඟි බිඟි කරමින් වැට ළඟ ඉන්නම්
මල්පෙති අස්සෙන් හොරෙන් බලන්නම්
අම්මා එනවද පාර බලන්නම්
විශ්වාසෙට දෙන හාද්ද දෙන්නම්

[Verse 1: Killer B]
Damn I like you baby drop it low
Lady see you back on floor
If you see the
You could Just Take it off
We'll be do it on the floor
Up in my Bangalore
I'll be you hero
And I know You පැටියෝ
Wast the time, days and wast the nights
All of the terry That i shouldn't stay by your side
Now I know won't let you go
We gotta fight
And you can tell your daddy better stay out of be side
[Brige1 x2: Samitha Mudunkotuwa]
නෙලුම් මල් වගේම සුපිපුනු
විලෙන් පැන්න සියපත නුඹ ගෙන
සඳෙන් රැස් හෙමීට එනකොට
මටත් දැනුනේ නෙත් දෙක මගේ ළඟ

[Hook x2: Nishantha]
ඉඟි බිඟි කරමින් වැට ළඟ ඉන්නම්
මල්පෙති අස්සෙන් හොරෙන් බලන්නම්
අම්මා එනවද පාර බලන්නම්
විශ්වාසෙට දෙන හාද්ද දෙන්නම්

[Verse 1: Killer B]
Yeah we have it doing big man
And you know it doing right
Yeah Pasan on the big
Ranidu Killer B NishanthaCMB
Let's go
I like the way you shake your booty on the dance floor
Set the Temperature like sun make it rap some more
The way you look at me
Shawty turn me on
And the speak on you mouth
Let me know what's the song
If you leave this love and hit the free way
In my Strawberry Ferrari
Come back to my place
With this..
You Could get it one
Till the next day
ඉඟි බිඟි කරන්නෙපා කෙල්ලේ
යන හැම තැන
Where Down where you play
වෙලාව නෑ don't play this games
Ready For your love මම ආදරෙයි
[Brige2 x2: Samitha Mudunkotuwa]
කලින් පෙම්බරාගේ හැඩරුව
මගින් හැංගුනාද හිත යට
හිතින් පෙම් කලාට මගේ සිත
කොහෙන් රිංගුවාද ඇතුලට

[Hook x4: Nishantha]
ඉඟි බිඟි කරමින් වැට ළඟ ඉන්නම්
මල්පෙති අස්සෙන් හොරෙන් බලන්නම්
අම්මා එනවද පාර බලන්නම්
විශ්වාසෙට දෙන හාද්ද දෙන්නම්

[Outro: Killer B]
Yow thats a big record man
#1 on the chart again
CMB doing big
Ranidu, Pasan
Track masters
Nishantha
We do it big baby",238821,si,si,si
ජීවිතේ විඳින්න Jeewithe Windinna,rap,Daddy,2013,1878,{},"[Verse 1:]
වරෙන් යන්න අපිත් එක්ක කන්න බොන්න හිනා වෙන්න
බයිලා නැත්තම් හිපොප් කියන්නම් ඔලුවෙන් හිටගෙනම
සතයක්වත් නැතුව නොමිලේ හොදට හිනාවෙන්න
සල්ලි කියා තාම මල්ලි මරාගෙන රණ්ඩු කරාගෙන
ජීවත් වෙන අය ගැන ඇහුවා දැන ගත්තා කලකිරුණා
බඩට ගැහුවේ කවුද
ඔරවන්නේ මොකද
චන්ඩි කියාගෙන ගැන්සි හදාගෙන සද්දේ දමාගෙන
දත් නැතුව බත් කාපු අය දැකල දුක හිතුනා
පරක්කු නෑ තවම හිත හදාගන්න බැරිද
වරක් කිව්වා හොඳ සැපක් ඕනේ නම් බකන් නිලන් මොකද

[Hook]
වරෙන් යන්න අපිත් එක්ක කන්න බොන්න හිනා වෙන්න
බයිලා නැත්තම් හිපොප් කියන්නම් ඔලුවෙන් හිටගෙනම
ඩෙනිම් ඇඳන් ජෙල් ගාගන්න
සාක්කු වල මොනරු ගෙන්න
Yes 5යි NO 3කුයි ඇති කෙල්ලෙක් දාගන්න

[Bridge]
ජීවත් වෙන්න ජීවය මෙන්න
මෙන්න මෙන්න ජීවත් වෙන්න
ජීවය දෙන්න
[Verse 2]
කඳුළු පුරවාගෙන දවසෙම අඬන්නේ මොකටද
බොක්කෙන්ම love කරලා බැඳලා බෙරගහල
ලොවට පෙන්නාපු කෙල්ලෝ හලපු
පොරවල් දැක්කා තැන්තැන් වල රජ වෙනවා
වැරැද්ද කාගේද නීතිය අපි කාටත් එකද
ජාති ජන්ම කුල බේද පටලවපු අපේම සමහරු
සුදු ඇඳුම ඇඳගෙන අසරණයට දඩුවම් කෙරුවා
පරක්කු නෑ තවම අපිට වෙනස් වෙන්න බැරිද
වරක් කිව්වා හොඳ සැපක් ඕනේ නම් බකන් නිලන් මොකද

[Hook]
වරෙන් යන්න අපිත් එක්ක කන්න බොන්න හිනා වෙන්න
බයිලා නැත්තම් හිපොප් කියන්නම් ඔලුවෙන් හිටගෙනම(කවුද කිව්වේ)
ඩෙනිම් ඇඳන් ජෙල් ගාගන්න
සාක්කු වල මොනරු ගෙන්න
Yes 5යි NO 3කුයි ඇති කෙල්ලෙක් දාගන්න

[Bridge]
ජීවත් වෙන්න එන්න එන්න
එන්න මගේ ඇත ගන්න
විඳින්න ආදරේ ලබන්න ආදරේ කරන්න
ඉතින් වරක් කිව්වා හොඳ සැපක් අරන් හෙට මැරිලා ගියත් මොකද

[Hook]
වරෙන් යන්න අපිත් එක්ක බැරිනම් ගෙදරට වෙලා ඉන්න
බැනුම් අහල මදි වගේ නම් ගෑනුන්ගෙන් ගුටි කන්න (කව්ද කිව්වේ)
ඩෙනිම් ඇඳන් ජෙල් ගාගන්න
සාක්කු වල මොනරු ගෙන්න
Yes 5යි NO 3කුයි ඇති කෙල්ලෙක් දාගන්න
[Outro]
ජීවත් වෙන්න ජීවය මෙන්න
මෙන්න මෙන්න ජීවත් වෙන්න
ජීවය දෙන්න
කන්න බොන්න කන්න දෙන්න
වරක් කිව්වා මෙන්න බැන්දා
අපි මේකත් අහල පොඩි shot 1ක් දාගන්න
වරෙන් යන්න අපිත් එක්ක
වරෙන් යන්න අපිත් එක්ක
යන්න ගන්න කන්න බොන්න එන්න හිනාවෙන්න
ජීවත් වෙන්න",239252,si,si,si
මොට්ටු Mottu,rock,La Signore (Lahiru Perera),2013,8315,{},"[Verse 1: La Signore]
මාතලේ හැදුව මම ගේ තට්ටු
කෙතලෙන් මල්ලක් ගත්තා කෙට්ටු
ඒ කෙල්ල දැම්මනේ මට වෙට්ටු
කවද හරි කරනවා නංගිව මට්ටු
සිරිපාල කපුවා තිබ්බේ මොට්ටු
මොට්ටුවට මතුරලා ඕංරීන් කට්ටු
මොට්ටු ති ඈ හට උනා මම තුට්ටු
ඇයි ද දැන් පෙරලෙන්නේ පනිට්ටු

[Hook: La Signore]
කට ගැස්ම වී ම ලෝකෙට පේනවා
තලු මරා මාවම බයිටට ගන්නවා
හිස හැරුණු ඒ මේ අත මා දුවනවා
ඊජිප්තු පිරමීඩෙක මා නිදනවා

[Verse 2: La Signore]
උන් දෙන්න වගුරනවා කඳුළු සතුටු
ඉතිරි උනේ මට මේ බල්ලා නකුටු
සමගියෙන් ඉන්නේ අපි වී වකුටු
කවද හරි පෙන්නනවා රැම්බෝ Part 2
ඒ කාලේ අපි කෑවේ කෝලි කුට්ටු
කෙලින් තිබු කොන්ඩේ උනා නේ බොකුටු
තුන් වේල කන්නේ දාල සීට්ටු
දැන් ඉතින් හිටගෙන ගිලින්නයි වෙන්නේ පිට්ටු
[Hook x2: La Signore]
කට ගැස්ම වී ම ලෝකෙට පේනවා
තලු මරා මාවම බයිටට ගන්නවා
හිස හැරුණු ඒ මේ අත මා දුවනවා
ඊජිප්තු පිරමීඩෙක මා නිදනවා",239292,si,si,si
Tum Hi Ho Sinhala RnB Remake නුඹ නැති ලෝකේ,rock,Aki Vish Hegoda (VeronZ),2013,1146,{},"[Intro]
නුඹ නැති ලෝකේ පාලුයි මට දැන්
ආයෙත් එන්නකෝ මගේ වෙලා

[Per-hook]
නුඹ නැති ලෝකේ පාලුයි මට දැන්
ආයෙත් එන්නකෝ මගේ වෙලා
බලා ඉන්නවා දිවිය පුරා මා
නුඹ එන තුරු යලි හිනා වෙලා

[Hook]
නුඹ මාගේමයි මා නුඹගෙමයි
දිවුරුවා මතකද ඔයා
පැතු ඒ පැතුම් සිතු ඒ සිතුම්
නුඹ වගේ බොඳ වී ගියා

[Verse 1]
නුඹ හා වේලිලා උණුසුම් වූවා
ආදරයෙන් මතකද පෙරදා
තාමත් නුඹගේ ආදර උණුසුම
රෑ සිහිනෙන් විඳිනවා මෙමා
නුඹ සුළඟ වගේ මගේ ලොවට ඇවිත් නොකියාම සැඟවී ගියා
[Hook]
නුඹ මාගේමයි මා නුඹගෙමයි
දිවුරුවා මතකද ඔයා
පැතු ඒ පැතුම් සිතු ඒ සිතුම්
නුඹ වගේ බොඳ වී ගියා

[Verse 2]
ළබැඳියේ හැරයන්නද මේ තරම්
නුඹ පෙම් කලේ
මට වාවනු බෑ මේ දුක නම්
අඳුරුයි පාලුයි මගේ ලොව දැන්
මගේ දිවියට යලි නුඹ එනවා නම්
පන වාගේ මා රැකගන්නම්

[Hook x2]
නුඹ මාගේමයි මා නුඹගෙමයි
දිවුරුවා මතකද ඔයා
පැතු ඒ පැතුම් සිතු ඒ සිතුම්
නුඹ වගේ බොඳ වී ගියා

[Outro]
Kyunki tum hi ho
Ab tum hi ho
Zindagi ab tum hi ho",239373,si,si,si
රත්තරන් මාගේ Raththran Mage,rock,Ashanthi,2013,140,"{""Damith Aasanka""}","[Hook: Asanka]
රත්තරන් මාගේ සුරඟනක් වාගේ
ඇස්වලින් කීදේ ආදරේ
හුරතලේ මූණේ මල්මිටක් වාගේ
කම්මුලක් ගානේ හාදු වූනේ

[Verse 1:Ashanthi]
හිත්යායේ පෙම්මල් පීදී
අමරසදෝ වෑහෙන්නේ
වස්සානේ ඇවිදින් වාගේ නෙ
නෙතු මා හදේ
නිල්මානෙල් පාටයි දෑසේ
තුරුලේමයි මා ඉන්නේ
ඉගිලෙන්නේ ඔබ හා තනියෙන් මා
දුක්වින්දේ සුසුමක් ගානේ
මා හැඩුවේ ඇල්ලක් වාගේ
මුළු ලෝකේ එරෙහි වූ එදා
දැනුනේ රස නොයිදුල් දීගේ
හිනෙන් දුටු පාරාදීසේ
මියැදෙන්නේ පහසින් දෙනුවන් මා
[Hook: Asanka]
රත්තරන් මාගේ සුරඟනක් වාගේ
ඇස්වලින් කීදේ ආදරේ
හුරතලේ මූණේ මල්මිටක් වාගේ
කම්මුලක් ගානේ හාදු වූනේ

[Verse 2:Ashanthi]
නාදල්ලේ පාටයි වාගේ
සිපගන්නත් ලෝබයි ඈගේ
දෙතොලේමයි නැවතී ඉන්නේ මා
මනමාලයි හැඟුමයි දෑසේ
ගුලිවෙන්නයි හොරැහින් බැලුවේ
ඔබ මාගෙ පනමයි සෑමදා

[Hook: Asanka]
රත්තරන් මාගේ සුරඟනක් වාගේ
ඇස්වලින් කීදේ ආදරේ
හුරතලේ මූණේ මල්මිටක් වාගේ
කම්මුලක් ගානේ හාදු වූනේ",239375,si,si,si
චන්න කින්නරාවි Channa Kinnaravi,rock,Bachi Susan,2012,3104,{},"[Hook]
ශ්වේත මීදුම් ඉරා දෙනෙත් මඟ ඇහිරූ
ජීවිතේ සීත සෘතුවේ ගිරි දුර්ග අතරින්
මා එක්ක එනවාදෝ චන්න කින්නරාවී
මා එක්ක එනවාදෝ චන්න කින්නරාවී

[Verse 1]
රළු පොලව මතින් දිවෙනා
විඩාබර දිගු ගමනේ
මෘදු සිනිදු දෙපා රිදෙනා
වේදනා සුසුම් අතරේ
ආදරේ ශේෂ වේවිදෝ
චන්න කින්නරාවී
මා එක්ක එනවාදෝ
චන්න කින්නරාවී

[Hook]
ශ්වේත මීදුම් ඉරා දෙනෙත් මඟ ඇහිරූ
ජීවිතේ සීත සෘතුවේ ගිරි දුර්ග අතරින්
මා එක්ක එනවාදෝ චන්න කින්නරාවී
මා එක්ක එනවාදෝ චන්න කින්නරාවී
[Verse 2]
සඳ නිවී ගිය රාත්‍රියේ තාරකා ගොළුව ඝන අදුරේ
ලය මතින් වැතිරී සොදුරු හීනයට ඉඩදී
හිනැහෙන්න පුළුවන්දෝ චන්න කින්නරාවී
හිනැහෙන්න පුළුවන්දෝ චන්න කින්නරාවී
හිනැහෙන්න පුළුවන්දෝ චන්න කින්නරාවී
හිනැහෙන්න පුළුවන්දෝ චන්න කින්නරාවී",239377,si,si,si
චන්ද්‍රයන් පිදූ  Chandrayan Pidu,rap,Viresh Cooray,2013,1177,{Daddy},"[Verse 1]
සිහිනෙන් වූවත් නෑ මා දුටුවේ
මාගේ දිවියේ අන්ධකාරේ
ඔබගෙන් පෙර නෑ මා කිසිදා
හිරු අග බැලුවේ
නෑ මා කිසිදා හිරු අග බැලුවේ
පැතුමන් අඳුරේ සිරවුයේ
ඔබගේ සෙනෙහෙන් ආදරයේ
අර්ථය ලැබුවේ
කඳුලැල් දිය දහරා
නෙතඟින් නොකැඩී ගලා ගියේ මා තනි වී
සිසිරෙන් මුවා වූ වසන්තේ උදාවූ ලෙසේ

[Hook]
චන්ද්‍රයන් පිදූ කිරණක් සඟවාලා හොරෙන්
වර්ණවත් කලේ මාගේ සිහිනේ ඔබේ නාමෙන්
වැගුරූ ඒ කඳුලැල් බිඳු වියැකී සෙමින්
ඔබ ගෙන ආ සෙනෙහස මුදු පවනේ රැඳි සිසිලක් ලෙසින්
සිසිලක් ලෙසින්
ඔබ මා හද පුබුදු කලේ
[Verse 2]
වසන්තයයි මාගේ දෙතොලේ
සිහිවන්නේ ඔබෙ මුව හමුවේ
කැළඹීලා සැමදා ඔබගේ
කැළුමන් අතරේ
අප නෙත් ගැටෙනා මොහොතේ
ඔබ මා සතුවයි රහසේ හැඟේ සිතේ නිසන්සලේ
රඟදෙයි ඔබ දෙසනා වදනන් යහනේ තනිවී

[Hook x2]
චන්ද්‍රයන් පිදූ කිරණක් සඟවාලා හොරෙන්
වර්ණවත් කලේ මාගේ සිහිනේ ඔබේ නාමෙන්
වැගුරූ ඒ කඳුලැල් බිඳු වියැකී සෙමින්
ඔබ ගෙන ආ සෙනෙහස මුදු පවනේ රැඳි සිසිලක් ලෙසින්
සිසිලක් ලෙසින්
ඔබ මා හද පුබුදු කලේ",239380,si,si,si
අපි කවුරුද  Api Kawruda,rock,WAYO,2013,2138,{},"[Verse 1]
සී සී කඩ විසිරුණු සිතිවිලි
දිය බුබුලේ නලියන පෙණ කැටි වාගේ නැතිවැ
හුදකලාවෙ තනිවී සිටියම
සිහින ආකරේ කට වැටුනා වගේ නිමක් නෑ

[Hook]
මොහොතින් මොහොතට ගෙවෙනා කාලය
දැනෙනවා කාටත් එක විදියට
ගිනියම් ඉර සඳ සිසිලස
අතරේ හොයනව හොයනවා මේ අපි කවුරුද
ගී ඇති ලොව සිතුවම් කල
අතරේ අහනව බලනවා මේ අපි කවුරුද

[Verse 2]
ඉර බැස යන ගොම්මන් යාමේ
තරු එක දෙක දිලිසෙන කළු ආකාසේ හෝ
ගලා හැලෙන රිද්මේ නැහැවී
ඇදි යන්නෙ ඈතින් ඈතට පාවී සුලග සේ

[Hook]
මොහොතින් මොහොතට ගෙවෙනා කාලය
දැනෙනවා කාටත් එක විදියට
ගිනියම් ඉර සඳ සිසිලස
අතරේ හොයනව හොයනවා මේ අපි කවුරුද
ගී ඇති ලොව සිතුවම් කල
අතරේ අහනව බලනවා මේ අපි කවුරුද
[Verse 3]
ගිනියම් ඉර සඳ සිසිලස
අතරේ හොයනව හොයනවා මේ අපි කවුරුද
ගී ඇති ලොව සිතුවම් කල
අතරේ අහනව බලනවා මේ අපි කවුරුද",239385,si,si,si
හිත හදාගන්න බෑ  Hitha Hadaganna Ba,rock,Chamika Sirimanna,2013,817,{},"[Hook]
හිත හදාගන්න බෑ
ඔබෙන් ලද දුක දරා ගන්න බෑ
ඔබ මගේ වෙන්නෙ නෑ
ඉතින් යලි අපි අපේ වෙන්නෙ නෑ
මා හැර හිතකට පෙම් කරලා
ආදරෙ හැර දමලා
මා සදා හඩනවා
මාරුතේ දුක දරා
හිත හදාගන්න බැ
ඔබෙන් ලද දුක දරා ගන්න බෑ

[Verse 1]
ආදරය වී ජීවිතය දී මාගෙ ලග උන්නු වේලේ
කීව හැම දේ තාම සිහිවේ පාලුවුනු ලෝකෙ මාගේ
හීන කදුලින් තෙමා ඈත සැගවී ඔයා
මාව අදුරේ හෙලා දෑස ලඟ අද නෑ මාගේ
මා සදා හඬනවා මාරුතේ දුක දරා
හීන වියැකී දෑස නොපෙනී කාටදෝ ඔබව හිමිවී
මාව තනිවී දෑස බොදවී කාට පවසම්ද මේ දේ
ජීවිතය පාවෙලා ආදරය නෑ කියා
මාව හැරදා සදා ඈත යනවද මේ යාමේ
මා සදා හඬනවා මාරුතේ දුක දරා
[Hook]
හිත හදාගන්න බෑ
ඔබෙන් ලද දුක දරා ගන්න බෑ
ඔබ මගේ වෙන්නෙ නෑ
ඉතින් යලි අපි අපේ වෙන්නෙ නෑ
මා හැර හිතකට පෙම් කරලා
ආදරෙ හැර දමලා
මා සදා හඩනවා
මාරුතේ දුක දරා
හිත හදාගන්න බැ
ඔබෙන් ලද දුක දරා ගන්න බෑ",239392,si,si,si
CRAZY මම දන්නෑ Freestyle,rap,Doxent,2013,49,{GoldMineISH},"[Hook]
Crazy
Crazy
Crazy

[Bridge 1 ]
මම දන්නෑ
වචන එන්නෑ
අපි දන්නෑ

[Verse 1:Doxent]
1යි 2යි 2ම 2යි
2ම කිව්වොතින් නිකං තමයි
නිකං නම් ඉතින් 2ම තමයි
2නම් ඉතින් අපෙන් තමයි
What Man

[Bridge 2]
මම දන්නෑ
වචන එන්නෑ
[Hook]

[Verse 2:Doxent]
බැලුවොත් හිටගෙන ගැහුවොත් නැගගෙන
සින්දු කියන්නේ අපි නම් ඉඳගෙන
හිටගෙන අනේ ඉඳගෙන
කියපන් කියපන් උඹේ උඹේ Rap 1

[Verse 3:GoldMineISH]
පාර දිගේ set වී gangs සිය කැරකි කැරකි LIfe සොයන්නේ
සිංදු නම් ඉතින් life තමයි
Life නම් ඉතින් සිංදු තමයි
අපිනම් මේ දැන් සිංදු කියන්නේ
ඉඳහිට ආතල් මදිවට ගන්නේ
Fun නම් ඉතින් අදම තමයි
අදනම් හැමදාමත් ම තමයි
කියල වැඩක් නෑ සින්දුවත් අපේ
මේවා අහලා උඹලත් කැරකෙ
සුස්ති නම් සිංදු තමයි
සිංදු නම් අපේ Drugsම තමයි
සින්දුවත් කියන්නේ ආසාවට
ආසවටනම් සිංදු කියන්නේ
මොනවද තව මල්ලි බලන් ඉන්නේ
අහපන් අපේ මේ rapවල තාලේ

[Bridge 1 ]
[Hook]

[Verse 4:Doxent]
පිස්සු නට නටා පාසල් යන්නේ
පාසල් ගිහිනුත් පිස්සු නටන්නේ
නටලා ඉවර වෙද්දී test 1 එන්නේ
Test 1 ආවත් පිස්සු කෙලින්නේ
Papers දැක්කම ඔලු කැරකෙන්නේ
කැරකි කැරකි අපි ඒවා ලියන්නේ
ලාභාලබෙට rapත් ලියන්නේ
Eminem, 2 pac rap සිහිවෙන්නේ
සිහිවෙන්නේ x6

[Verse 5:GoldMineISH]
ඉගෙන ගන්නේ Job කරන්න
Job කරන්නේ සල්ලි හොයන්න
සල්ලි හොයන්නේ වියදම් කරන්න
වියදම් කරනවා ණය වෙන්න
ණය නම් වෙන්නේ ජීවත් වෙන්න
ජීවත් වෙන්නේ සිංදු කියන්න අපි

[Hook]

[Bridge 1 ]",297167,si,si,si
